,Lemma,definition
23446,носатый,"<i>Adjective</i><br>1. big-nosed, nasute"
23447,убожество,"<i>Noun</i><br>1. squalor, poverty, wretchedness, beggarliness<br>2. mutilation, disability<br>3. mediocrity, insignificance, poverty"
23448,шестидесятник,<i>Noun</i><br>1. person of the sixties
23449,Смольный,
23450,краситься,"<i>Verb</i><br>1. to color, to paint, to dye<br>2. to adorn, to beautify, to decorate, to embellish"
23451,неизбывный,"<i>Adjective</i><br>1. impossible to get rid of, indestructible, unquenchable, indelible"
23452,покорение,"<i>Noun</i><br>1. conquest, subjugation"
23453,жизнеописание,"<i>Noun</i><br>1. biography, (description of) life"
23454,покориться,"<i>Verb</i><br>1. to subdue, to conquer, to subjugate, to win (over)"
23455,Ладога,"<i>Proper noun</i><br>1. Ladoga (a lake in Russia, near St. Petersburg)<br>2. Staraya Ladoga (a rural  locality and former town in Volkhovsky district, Leningrad Oblast, Russia)"
23456,бесценок,"<i>Noun</i><br>1. Only used in за бесце́нок (za bescénok, “for peanuts (very cheap, of a price)”)<br>2. ↑  §504 of Грамматика русского языка, volume 1"
23457,буддист,<i>Noun</i><br>1. Buddhist
23458,Стругацкий,
23459,пьяно,<i>Adjective</i><br>1. drunk<br><i>Noun</i><br>1. drunk
23460,серьез,<i>Noun</i><br>1. seriousness
23461,незримо,
23462,пенка,<i>Noun</i><br>1. skin forming on milk<br>2. meerschaum<br><i>Noun</i><br>1. skin forming on milk<br>2. meerschaum
23463,носильщик,<i>Noun</i><br>1. porter
23464,ладиться,"<i>Verb</i><br>1. to get on (with), to agree (with), to be on good terms (with)<br>2. to prepare, to make ready, to fix, to tune<br>3. to plan<br>4. to repeat, to keep saying, to drone (on)"
23465,зачесать,<i>Verb</i><br>1. to comb<br>2. to begin to scratch (an itch)
23466,рампа,"<i>Noun</i><br>1.  footlights<br>2. low barrier along the proscenium, hiding the lights<br>3. low barrier separating a box from the auditorium<br>4. railing<br>5. embrasure, crenel<br>6. ramp<br>7. apparatus for centralized distribution to consumers of compressed gas cylinders"
23467,Михайловский,
23468,неподъемный,<i>Adjective</i><br>1. very heavy<br>2. difficult or impossible to implement
23469,преображать,"<i>Verb</i><br>1. to transform, to transfigure"
23470,мята,<i>Participle</i><br>1. past passive imperfective participle of мять (mjatʹ)<br><i>Adjective</i><br>1. past passive imperfective participle of мять (mjatʹ)
23471,самотек,"<i>Noun</i><br>1. drift, gravity flow<br>2. free run, something that happens without a plan or control (spontaneously)"
23472,подергать,<i>Verb</i><br>1. to pull at
23473,устроенный,"<i>Verb</i><br>1. to arrange, to organize, to establish<br>2. to settle, to set up, to put in order<br>3. to suit, to satisfy"
23474,прожилка,"<i>Noun</i><br>1. streak, vein"
23475,дороговизна,<i>Noun</i><br>1. dearness (being expensive)
23476,Никсон,
23477,градация,<i>Noun</i><br>1. gradation
23478,Манн,
23479,коряга,<i>Noun</i><br>1. snag
23480,Мальборо,
23481,глодать,<i>Verb</i><br>1. to gnaw<br><i>Verb</i><br>1. to gnaw
23482,бровка,<i>Noun</i><br>1. eyebrow
23483,мануфактура,"<i>Noun</i><br>1. manufactory<br>2. drapery, textiles"
23484,лысеть,<i>Verb</i><br>1. to become bald
23485,раздосадовать,"<i>Verb</i><br>1. to vex, to annoy, to anger"
23486,номинал,"<i>Noun</i><br>1. face value, par"
23487,тесемка,"<i>Noun</i><br>1. Diminutive of тесьма́ (tesʹmá): (small) ribbon, band, tape"
23488,дальше,"<i>Adjective</i><br>1. far, distant, remote<br>2. long way off, wide (of)<br>3. strange (to)<br>4. smart, clever"
23489,юбочка,"<i>Noun</i><br>1. skirt (part of clothing, especially woman's)<br>2. woman (as an object of a man's interest)"
23490,пяток,<i>Noun</i><br>1. heel<br><i>Noun</i><br>1. heel
23491,наворотить,"<i>Verb</i><br>1. to heap up (a large quantity of something, in a disorderly way)<br>2. to overcomplicate (something), to make (something) overly convoluted<br>3. to make a mess of (something), to do (something undesirable or erroneous)"
23492,твердь,"<i>Noun</i><br>1. dry land, earth<br>2. firmament"
23493,святая,"<i>Adjective</i><br>1. holy, sacred (dedicated to a religious purpose)<br><i>Noun</i><br>1. holy, sacred (dedicated to a religious purpose)<br><i>Noun</i><br>1. holy, sacred (dedicated to a religious purpose)"
23494,всклокоченный,
23495,амортизатор,"<i>Noun</i><br>1. (device to absorb shocks) shock absorber, cushion, dashpot"
23496,пигмент,<i>Noun</i><br>1. pigment (any color in plant or animal cells)
23497,выжидательно,"<i>Adverb</i><br>1. in expectation, waiting"
23498,регрессия,<i>Noun</i><br>1. regression
23499,разжаловать,<i>Verb</i><br>1. to demote
23500,сушиться,"<i>Verb</i><br>1. to dry<br>2. to roast, to toast, to parch<br>3. to wear out, to exhaust, to torment<br>4. to harden , to make heartless"
23501,замашка,"<i>Noun</i><br>1. habit, manners"
23502,безотказно,
23503,пищевод,"<i>Noun</i><br>1. gullet, oesophagus"
23504,Джордан,
23505,прозевать,"<i>Verb</i><br>1. to miss (a train, a stop, a chance, an opportunity, etc.)"
23506,преподать,<i>Verb</i><br>1. to give<br>2. to teach
23507,выделка,"<i>Noun</i><br>1. manufacturing, production<br>2. workmanship<br>3. dressing"
23508,сыпь,<i>Verb</i><br>1. to pour<br>2. to squander
23509,обороноспособность,<i>Noun</i><br>1. readiness for defense
23510,Анжелика,"<i>Proper noun</i><br>1. A female given name, Anzhelika, equivalent to English Angelica"
23511,затрепетать,<i>Verb</i><br>1. to begin to tremble<br>2. to begin to palpitate<br>3. to begin to shiver
23512,соскальзывать,"<i>Verb</i><br>1. to slide down, to slide off, to glide down, to slip (off)"
23513,неразлучный,"<i>Adjective</i><br>1. inseparable, always together"
23514,соткать,<i>Verb</i><br>1. to weave
23515,сепаратизм,<i>Noun</i><br>1. separatism
23516,княжич,<i>Noun</i><br>1. young prince (the son of a prince); a duke's son
23517,фольксваген,<i>Noun</i><br>1. Volkswagen car
23518,кок,<i>Noun</i><br>1. coca<br>2. cocaine<br><i>Noun</i><br>1. coca<br>2. cocaine
23519,неопрятный,"<i>Adjective</i><br>1. untidy, slovenly, sloppy"
23520,Батурин,
23521,Цзэдун,
23522,нелегал,"<i>Noun</i><br>1. illegal alien, illegal immigrant (person within a state without authorization)<br>2. illegal (undercover spy)"
23523,боулинг,<i>Noun</i><br>1. bowling (game)<br>2. bowling alley
23524,Муромец,
23525,окорок,"<i>Noun</i><br>1. ham, gammon"
23526,боеготовность,<i>Noun</i><br>1. alertness
23527,откидываться,"<i>Verb</i><br>1. to throw away, to cast away<br>2. to turn down (e.g. a seat)"
23528,поземка,"<i>Noun</i><br>1. drifting snow, blowing snow"
23529,растолкать,"<i>Verb</i><br>1. to push away, aside, or apart (all or many people)<br>2. to shake awake"
23530,осетрина,<i>Noun</i><br>1. sturgeon
23531,изъявить,<i>Verb</i><br>1. to express<br>2. to reveal
23532,осока,<i>Noun</i><br>1. sedge
23533,подвигнуть,"<i>Verb</i><br>1. to rouse, to induce, to encourage"
23534,миндаль,<i>Noun</i><br>1. almond (nut)
23535,сказочно,"<i>Adjective</i><br>1. magical<br>2. fairy-tale (character, plot)"
23536,ампер,<i>Noun</i><br>1. ampere
23537,омерзение,<i>Noun</i><br>1. abomination (the feeling of extreme disgust)
23538,пчелиный,<i>Adjective</i><br>1. bee
23539,обременять,<i>Verb</i><br>1. to burden<br>2. to encumber (with)
23540,Торонто,"<i>Proper noun</i><br>1. Toronto (the capital city of Ontario, Canada, and largest city in Canada)<br>2. Toronto (a lakeside suburb within the City of Lake Macquarie, New South Wales, Australia)<br>3. Toronto (an unincorporated area and community in the township of Lot 23, Grenville Parish, Queens County, Prince Edward Island, Canada)<br>4. Toronto (a village in County Durham, England)<br>5. Toronto (a former unincorporated community in Woodside Township, now a suburb of Springfield, Sangamon County, Illinois)<br>6. Toronto (a ghost town in Helt Township, Vermillion County, Indiana)<br>7. Toronto (a small town in Clinton County, Iowa)<br>8. Toronto (a tiny city in Woodson County, Kansas)<br>9. Toronto (an unincorporated community in Camden County, Missouri)<br>10. Toronto (a city in Jefferson County, Ohio)<br>11. Toronto (a small town in Deuel County, South Dakota)"
23541,ратник,"<i>Noun</i><br>1. warrior, soldier"
23542,антивирусный,<i>Adjective</i><br>1. antiviral
23543,импульсивный,<i>Adjective</i><br>1. impulsive
23544,броский,"<i>Adjective</i><br>1. bright, conspicuous, catchy"
23545,мужичонка,"<i>Noun</i><br>1. boor; coarse, uncouth man<br>2. man (male person)<br>3. husband<br>4. peasant from tsarist Russia; mujik/muzhik<br>5. macho"
23546,нейлоновый,<i>Adjective</i><br>1. nylon
23547,Джонс,
23548,хромовый,"<i>Adjective</i><br>1. chrome, chromium; chromic<br>2. chromic acid<br>3. box calf"
23549,рельефный,"<i>Adjective</i><br>1. convex, protruding<br>2. embossed, relief<br>3. expressive, clear"
23550,Рерих,
23551,выкручиваться,"<i>Verb</i><br>1. to twist off, to tweak off, to unscrew<br>2. to wring out"
23552,юморист,<i>Noun</i><br>1. humorist
23553,затопление,<i>Noun</i><br>1. flooding<br>2. sinking
23554,маниакальный,"<i>Adjective</i><br>1. maniacal, manic"
23555,опьянеть,"<i>Verb</i><br>1. to get intoxicated/tipsy/inebriated<br>2. to get intoxicated (with joy, success etc)"
23556,неодинаковый,"<i>Adjective</i><br>1. different, distinct, not the same"
23557,репетиционный,<i>Adjective</i><br>1. rehearsal
23558,растрепанный,<i>Participle</i><br>1. past passive perfective participle of растрепа́ть (rastrepátʹ)<br><i>Adjective</i><br>1. past passive perfective participle of растрепа́ть (rastrepátʹ)
23559,сиротский,"<i>Adjective</i><br>1. orphan; orphan's<br>2. poor, miserable<br>3. orphan care"
23560,тантра,
23561,микроэлемент,<i>Noun</i><br>1. trace element
23562,дорожно-транспортный,<i>Adjective</i><br>1. road transport
23563,навевать,<i>Verb</i><br>1. to blow<br>2. to cast (over)
23564,обоняние,"<i>Noun</i><br>1. sense of smell, olfaction"
23565,пединститут,"<i>Noun</i><br>1. teacher's college, pedagogical institute"
23566,раскланиваться,<i>Verb</i><br>1. to bow<br>2. to greet by bowing
23567,Клюев,
23568,формулироваться,"<i>Verb</i><br>1. to formulate, to phrase, to word, to lay down (rules, demands, etc.)"
23569,неисправимый,"<i>Adjective</i><br>1. uncorrectable, incorrigible"
23570,лыжня,"<i>Noun</i><br>1. ski track, trail left by a pair of skis, or one artificially created for the purpose of skiing on"
23571,школа-студия,
23572,подстраиваться,"<i>Verb</i><br>1. to build (to), to add (to)<br>2. to tune (up)<br>3. to bring about by secret plotting, to contrive, to plot, to cook up"
23573,дослужиться,"<i>Verb</i><br>1. to stay in service, to stay employed<br>2. to serve out (some time period)"
23574,увядший,"<i>Verb</i><br>1. to wither, to shrivel, to fade, to dry up"
23575,репродуктивный,<i>Adjective</i><br>1. reproductive
23576,подсмотреть,"<i>Verb</i><br>1. to peep, to spy, to pry"
23577,поимка,"<i>Noun</i><br>1. capture, catch"
23578,инквизитор,<i>Noun</i><br>1. inquisitor
23579,скворец,<i>Noun</i><br>1. starling
23580,подвывать,"<i>Verb</i><br>1. to echo (someone's) howling<br>2. to howl softly, to whimper<br>3. to call by howling"
23581,заточение,"<i>Noun</i><br>1. incarceration, captivity"
23582,ожесточенно,
23583,Сафронов,
23584,гипертония,<i>Noun</i><br>1. hypertension
23585,сконцентрироваться,"<i>Verb</i><br>1. to concentrate,  to mass"
23586,высвободиться,"<i>Verb</i><br>1. to free , to let out , to disengage , to disentangle<br>2. to release, to make available"
23587,запаздывать,"<i>Verb</i><br>1. to be late, to be behind schedule<br>2. to lag"
23588,Сонечка,
23589,градоначальник,<i>Noun</i><br>1. mayor
23590,безбрежный,"<i>Adjective</i><br>1. shoreless<br>2. boundless, vast"
23591,патетический,"<i>Adjective</i><br>1. full of pathos, impassioned, passionate, emotional"
23592,замахиваться,"<i>Verb</i><br>1. to threaten (smb with smth), to raise (threateningly) (smth at smb)<br>2. to venture, to make a bold push (for), to make a stab (at)"
23593,Озеров,
23594,выправка,"<i>Noun</i><br>1. straightening, correcting<br>2. deportment, bearing"
23595,старшой,
23596,лучевой,"<i>Adjective</i><br>1. ray, beam; radial<br>2. radiation"
23597,залаять,"<i>Verb</i><br>1. to begin to bark, to give tongue"
23598,оживляться,"<i>Verb</i><br>1. to bring back to life<br>2. to revive, to bring back (of something that has been lost or forgotten)<br>3. to imbue physical or emotional energy (ex. into a person, a street)<br>4. to improve the appearance (ex. of a building)"
23599,добрейший,"<i>Adjective</i><br>1. kind, good, genial<br>2. kindly, good-hearted<br>3. gracious, nice<br>4. gentle, soft<br>5. decent<br>6. benign<br>7. beneficent<br>8. tenderhearted<br>9. good-natured<br>10. kindhearted, warm-hearted<br>11. good, solid"
23600,коррупционный,<i>Adjective</i><br>1. corruption<br>2. corrupt
23601,ситуационный,<i>Adjective</i><br>1. situation; situational
23602,всячина,<i>Noun</i><br>1. 
23603,сухонький,"<i>Adjective</i><br>1. dry<br>2. lean<br>3. land<br>4. cool, cold<br>5. boring, dull"
23604,выкарабкаться,"<i>Verb</i><br>1. to clamber out<br>2. to get out of a predicament, to overcome adversity"
23605,худо-бедно,
23606,дотрагиваться,<i>Verb</i><br>1. to touch (make physical contact with)
23607,Шиллер,
23608,забраковать,"<i>Verb</i><br>1. to reject, to consider defective<br>2. to condemn"
23609,пригубить,"<i>Verb</i><br>1. to take a sip, to taste"
23610,осознаваться,"<i>Verb</i><br>1. to recognize, to fathom, to realize, to be aware"
23611,подкреплять,"<i>Verb</i><br>1. to support<br>2. to bolster (with), to corroborate<br>3. to refresh, to fortify<br>4. to reinforce"
23612,Мефистофель,"<i>Proper noun</i><br>1. Mephistopheles, Mephisto"
23613,вляпаться,"<i>Verb</i><br>1. to insert badly, to sloppily or inappropriately"
23614,квашеный,"<i>Adjective</i><br>1. fermented, sour"
23615,порнографический,<i>Adjective</i><br>1. pornographic
23616,переселить,"<i>Verb</i><br>1. to move, to resettle"
23617,натурный,"<i>Adjective</i><br>1. in-situ, field, full-scale, actual, real, outdoor, exterior"
23618,та-ак,
23619,неузнаваемый,<i>Adjective</i><br>1. unrecognizable
23620,трудодень,"<i>Noun</i><br>1. work-day, man-day (unit of accounting of Soviet collective farms in the period from 1930 to 1966)"
23621,оригинально,"<i>Adjective</i><br>1. original (first in a series; fresh, different)"
23622,знаменатель,<i>Noun</i><br>1. denominator (the number or expression written below the line in a fraction)
23623,задел,"<i>Verb</i><br>1. to touch, to brush (against)<br>2. to be caught, to hit, to strike<br>3. (in a conversation, narration) to touch (upon)<br>4. to affect, to offend, to hurt<br>5. to affect"
23624,спонтанно,"<i>Adverb</i><br>1. spontaneously, ad hoc (on the spur of the moment)"
23625,фехтование,<i>Noun</i><br>1. fencing
23626,рассосаться,"<i>Verb</i><br>1. to resolve, to dissolve<br>2. to disperse, to scatter"
23627,множиться,<i>Verb</i><br>1. to multiply
23628,щелка,"<i>Noun</i><br>1. endearing diminutive of щель (ščelʹ): (small) slit, crack<br><i>Noun</i><br>1. endearing diminutive of щель (ščelʹ): (small) slit, crack"
23629,Асеев,
23630,владелица,<i>Noun</i><br>1. female owner
23631,наличность,<i>Noun</i><br>1. availability<br>2. cash in hand
23632,сканер,<i>Noun</i><br>1. scanner
23633,поцарапать,"<i>Verb</i><br>1. to scratch slightly, to mar slightly"
23634,благоденствие,"<i>Noun</i><br>1. welfare, prosperity"
23635,Мережковский,
23636,нигилизм,<i>Noun</i><br>1. nihilism
23637,обгон,<i>Noun</i><br>1. overtaking (e.g. by a vehicle)
23638,замшелый,"<i>Adjective</i><br>1. mossy, moss-grown<br>2. moss-grown, old-fashioned; set in one's ways"
23639,холодность,"<i>Noun</i><br>1. coldness, frigidity"
23640,гак,<i>Noun</i><br>1. iron hook used for lifting equipment<br>2. addition<br>3. gac fruit (Momordica cochinchinensis)
23641,сдувать,"<i>Verb</i><br>1. to blow away, to blow off<br>2. to crib (from)"
23642,фиаско,"<i>Noun</i><br>1. fiasco, flop"
23643,Франклин,
23644,вить,"<i>Verb</i><br>1. to wind<br>2. to twist, to weave"
23645,поумнеть,<i>Verb</i><br>1. to become wiser
23646,Робинзон,
23647,кувалда,<i>Noun</i><br>1. sledgehammer (kind of hammer)
23648,злободневный,<i>Adjective</i><br>1. topical (of current importance)
23649,развязный,"<i>Adjective</i><br>1. cheeky, impudent, insolent<br>2. unceremonious, familiar<br>3. overly relaxed"
23650,Верди,
23651,примерка,<i>Noun</i><br>1. trying on<br>2. fitting
23652,менструация,"<i>Noun</i><br>1. menstruation, period"
23653,кросс,<i>Noun</i><br>1. cross country
23654,переваливаться,"<i>Verb</i><br>1. to shift, to roll over<br>2. to cross, to get to the top"
23655,намокнуть,<i>Verb</i><br>1. to get wet
23656,кальмар,<i>Noun</i><br>1. squid
23657,насыщенность,"<i>Noun</i><br>1. saturation<br>2. body (comparative viscosity, solidity or substance)"
23658,Кудрявцев,<i>Proper noun</i><br>1. A  surname​: Kudryavtsev
23659,РОН,
23660,благоговейный,"<i>Adjective</i><br>1. reverent, reverential, respectful"
23661,калория,<i>Noun</i><br>1. calorie
23662,трубач,"<i>Noun</i><br>1. trumpet player, trumpeter"
23663,квант,<i>Noun</i><br>1. quantum
23664,Трубецкой,
23665,загадать,"<i>Verb</i><br>1. (riddle) to set, to offer<br>2. to think (of)<br>3. to make plans, to plan ahead"
23666,квартальный,<i>Adjective</i><br>1. quarterly<br>2. city block<br>3. urban ward<br><i>Noun</i><br>1. quarterly<br>2. city block<br>3. urban ward
23667,спортсменка,"<i>Noun</i><br>1. female athlete, sportswoman"
23668,лещ,"<i>Noun</i><br>1. bream<br>2. slap in the face, box on the ear"
23669,горазд,<i>Adjective</i><br>1. skilful; capable
23670,натирать,"<i>Verb</i><br>1. to rub (with), to rub (on, in)<br>2. to chafe, to rub sore<br>3. to rub, to polish<br>4. to grate"
23671,профицит,<i>Noun</i><br>1. surplus
23672,холодоадаптированный,<i>Adjective</i><br>1. cold-adapted
23673,одиозный,"<i>Adjective</i><br>1. odious, extremely unpleasant"
23674,развешивать,"<i>Verb</i><br>1. to weigh out<br>2. to hang (in different places)<br>3. (boughs) to spread, to stretch out"
23675,наклонять,"<i>Verb</i><br>1. to tilt, to bend<br>2. to bow, to stoop"
23676,киль,"<i>Noun</i><br>1. keel, back<br>2. fin, tailfin, fin surface, keel<br>3. keel bone (bird’s sternum)"
23677,Минпечати,
23678,ввязываться,"<i>Verb</i><br>1. to knit in<br>2. to mix up, to draw in"
23679,пергамент,<i>Noun</i><br>1. parchment (material)
23680,кимоно,<i>Noun</i><br>1. kimono
23681,газовик,<i>Noun</i><br>1. worker of gas industry
23682,отметиться,"<i>Verb</i><br>1. to mark<br>2. to note<br>3. to mark off, to make a note (of)<br>4. to mention, to point to, to record<br>5. to celebrate, to mark by celebration, to commemorate, to observe<br>6. to register (out), to sign out"
23683,хомут,"<i>Noun</i><br>1. horse collar<br>2. yoke, clamp"
23684,понуро,
23685,зондирование,"<i>Noun</i><br>1. probing, reconnaissance, sounding"
23686,тоненько,
23687,Тито,
23688,голубушка,"<i>Noun</i><br>1. dove (female), small pigeon (female)<br>2. (my) dear, darling, honey<br><i>Noun</i><br>1. dove (female), small pigeon (female)<br>2. (my) dear, darling, honey"
23689,заплыть,"<i>Verb</i><br>1. to swim<br>2. to swim or sail<br>3. to be bloated, to swollen"
23690,уняться,"<i>Verb</i><br>1. to quiet, to calm (baby), to soothe, to make someone stop shouting, crying or behave violently, to stop (bleeding)"
23691,черноглазый,<i>Adjective</i><br>1. having dark brown eyes
23692,благообразный,<i>Adjective</i><br>1. good-looking
23693,голубка,"<i>Noun</i><br>1. diminutive of го́лубь (gólubʹ): young pigeon, dove<br>2. (to a man) darling, darl, sweetheart, dear, honey<br><i>Noun</i><br>1. diminutive of го́лубь (gólubʹ): young pigeon, dove<br>2. (to a man) darling, darl, sweetheart, dear, honey"
23694,ФПГ,
23695,Чернобыль,"<i>Proper noun</i><br>1. Chernobyl (a small city in Ukraine, the site of a 1986 nuclear disaster)"
23696,понапрасну,
23697,Авдеев,
23698,пересыпать,"<i>Verb</i><br>1. to pour (from; into)<br>2. to sprinkle (with)<br>3. (speech) to intersperse (with)<br>4. to pour too much, to put too much<br><i>Verb</i><br>1. to pour (from; into)<br>2. to sprinkle (with)<br>3. (speech) to intersperse (with)<br>4. to pour too much, to put too much"
23699,прилет,"<i>Noun</i><br>1. arrival by air (act of arriving or something that has arrived, by airplane)"
23700,первопроходец,"<i>Noun</i><br>1. trailblazer, pioneer, pathfinder"
23701,прилепиться,"<i>Verb</i><br>1. to stick to, to attach to<br>2. to give (a nickname) to"
23702,замуровать,"<i>Verb</i><br>1. to seal (a hole or opening with masonry)<br>2. to immure (to cloister someone behind walls, or to hide something inside of a wall)<br>3. to prevent (someone) from freely communicating or moving"
23703,геологоразведочный,<i>Adjective</i><br>1. geological survey
23704,евнух,<i>Noun</i><br>1. eunuch
23705,чертыхаться,"<i>Verb</i><br>1. to curse, to swear, to cuss"
23706,Рахимов,
23707,попрыгать,"<i>Verb</i><br>1. to jump, to spring, to leap"
23708,архипастырь,
23709,Холокост,<i>Proper noun</i><br>1. the Holocaust
23710,находчивость,"<i>Noun</i><br>1. ingenuity, resourcefulness, inventiveness"
23711,кулинария,"<i>Noun</i><br>1. (art of) cooking<br>2. cookery, gastronomy, delicatessen, cuisine"
23712,поприветствовать,"<i>Verb</i><br>1. to welcome, to greet, to salute"
23713,налегать,<i>Verb</i><br>1. to lean on<br>2. to apply oneself to<br>3. to wield energetically
23714,благодушно,
23715,кадетский,<i>Adjective</i><br>1. cadet<br>2. Constitutional Democrat
23716,байковый,"<i>Adjective</i><br>1. baize, (thick) flannelette"
23717,Внешэкономбанк,
23718,рафинированный,"<i>Verb</i><br>1. to refine, to purify"
23719,вдовец,<i>Noun</i><br>1. widower
23720,Мосэнерго,
23721,Домодедово,"<i>Proper noun</i><br>1. Domodedovo (an airport in Moscow, Russia)"
23722,артистизм,"<i>Noun</i><br>1. artistic skills, artistry"
23723,копилка,"<i>Noun</i><br>1. piggy bank, money box (any shape)"
23724,Внуково,
23725,кабинетный,"<i>Adjective</i><br>1. office<br>2. study (room)<br>3. examination room<br>4. theoretical, abstract, far from practical life"
23726,утенок,"<i>Noun</i><br>1. duckling<br>2.  two little ducks, twenty-two in the lotto game"
23727,внутриполитический,<i>Adjective</i><br>1. domestic policy
23728,начертить,"<i>Verb</i><br>1. to draw, to draw up, to plot"
23729,тряпица,<i>Noun</i><br>1. (small) rag
23730,прочертить,<i>Verb</i><br>1. to draw (a line)<br><i>Verb</i><br>1. to draw (a line)
23731,прочитывать,<i>Verb</i><br>1. to read through<br>2. to recite
23732,камзол,<i>Noun</i><br>1. camisole (man's jacket)
23733,верещать,<i>Verb</i><br>1. to squeal (to scream a high-pitched squeal)<br>2. to chirp
23734,оглашать,"<i>Verb</i><br>1. to announce, to proclaim, to read out<br>2. to divulge, to make public<br>3. to fill with sound, to resound"
23735,лесопромышленный,<i>Adjective</i><br>1. timber industry
23736,оцепить,"<i>Verb</i><br>1. to surround, to encircle, to cordon off"
23737,безобразно,"<i>Adjective</i><br>1. ugly, hideous<br>2. disgraceful, scandalous, shameful<br><i>Adjective</i><br>1. ugly, hideous<br>2. disgraceful, scandalous, shameful"
23738,весточка,"<i>Noun</i><br>1. news, piece of news, message; tidings<br>2. news (presentation of news, e.g. on television)<br><i>Verb</i><br>1. news, piece of news, message; tidings<br>2. news (presentation of news, e.g. on television)"
23739,Афродита,<i>Proper noun</i><br>1. Aphrodite
23740,напольный,<i>Adjective</i><br>1. installed on the floor
23741,спьяну,
23742,постмодернистский,<i>Adjective</i><br>1. postmodern
23743,взводный,
23744,содрогание,"<i>Noun</i><br>1. shudder, shiver"
23745,катализ,
23746,каталка,"<i>Noun</i><br>1. barrow, gurney (a stretcher having wheeled legs)"
23747,отправитель,<i>Noun</i><br>1. sender (someone who sends)
23748,городить,<i>Verb</i><br>1. to fence in<br>2. to talk nonsense
23749,разучивать,"<i>Verb</i><br>1. to learn, to prepare to perform"
23750,нарождаться,"<i>Verb</i><br>1. to give birth to, to bear (someone/something in a usually large quantity)"
23751,елисейский,"<i>Adjective</i><br>1. Elysian, paradisiacal"
23752,расчленить,"<i>Verb</i><br>1. to dismember<br>2. to divide, to break up<br>3. to break up, to open out, to break down"
23753,табель,"<i>Noun</i><br>1. table<br>2. timeboard<br>3. time sheet, time card<br>4. school progress record<br><i>Noun</i><br>1. table<br>2. timeboard<br>3. time sheet, time card<br>4. school progress record"
23754,круглолицый,<i>Adjective</i><br>1. round-faced
23755,окупаемость,"<i>Noun</i><br>1. cover of expenditure, recoupment"
23756,што,<i>Conjunction</i><br>1. that<br><i>Pronoun</i><br>1. that
23757,веселенький,"<i>Adjective</i><br>1. endearing diminutive of весёлый (vesjólyj, “cheerful, merry; funny”)"
23758,посредственность,<i>Noun</i><br>1. mediocrity
23759,Средиземноморье,<i>Proper noun</i><br>1. region of the Mediterranean Sea
23760,пломба,"<i>Noun</i><br>1. lead, seal, stamp<br>2. filling, stopping, inlay, plug"
23761,кондиция,"<i>Noun</i><br>1. state, condition"
23762,наповал,
23763,спячка,"<i>Noun</i><br>1. dormancy (state of being dormant)<br>2. sleepiness, lethargy<br>3. hibernation, aestivation"
23764,просохнуть,<i>Verb</i><br>1. to dry up
23765,пострелять,<i>Verb</i><br>1. to shoot<br>2. to shoot
23766,переоборудовать,<i>Verb</i><br>1. to reequip
23767,вечнозеленый,<i>Adjective</i><br>1. evergreen
23768,меловой,<i>Adjective</i><br>1. chalk<br>2. chalk-white<br>3. Cretaceous
23769,вешаться,"<i>Verb</i><br>1. to hang, to hang up<br>2. to hang (execute)"
23770,гелий,<i>Noun</i><br>1. helium
23771,Гейтс,
23772,Мордовия,<i>Proper noun</i><br>1. Mordovia (a republic of Russia)
23773,трехмесячный,<i>Adjective</i><br>1. three-month (lasting three months)<br>2. three-month-old
23774,демонтировать,"<i>Verb</i><br>1. to dismantle<br>2. to disband, to abolish"
23775,карьерист,<i>Noun</i><br>1. careerist; social climber
23776,напутствовать,<i>Verb</i><br>1. to say (parting words) to
23777,касание,"<i>Noun</i><br>1. touch, touching, contact"
23778,демонстрационный,"<i>Adjective</i><br>1. demonstration (public display, political protest, or show of military force)<br>2. demonstrative<br>3. diversionary action"
23779,ОГПУ,
23780,постричь,"<i>Verb</i><br>1. to trim, to clip, to crop<br>2. to tonsure"
23781,нараспашку,
23782,Карлос,
23783,демонстрант,<i>Noun</i><br>1. demonstrator (a person involved in a demonstration)
23784,описательный,<i>Adjective</i><br>1. descriptive
23785,Чувашия,<i>Proper noun</i><br>1. Chuvashia (a republic of Russia)
23786,родоначальник,"<i>Noun</i><br>1. patriarch<br>2. apical ancestor (common ancestor)<br>3. stirps, stirpes"
23787,взаимопомощь,<i>Noun</i><br>1. mutual assistance
23788,геморрой,"<i>Noun</i><br>1. hemorrhoid, hemorrhoids<br>2. problem, difficulty, pain in the ass"
23789,теология,<i>Noun</i><br>1. theology
23790,нарекание,"<i>Noun</i><br>1. blame, censure, reprimand (the act of blaming, criticizing, or condemning as wrong; reprehension)"
23791,потешаться,"<i>Verb</i><br>1. to amuse, to entertain"
23792,что-что,
23793,сноровка,"<i>Noun</i><br>1. skill, proficiency, dexterity"
23794,межотраслевой,"<i>Adjective</i><br>1. interindustry<br>2. intersectoral, interbranch"
23795,аэроплан,"<i>Noun</i><br>1. aeroplane, airplane"
23796,ячмень,"<i>Noun</i><br>1. stye (bacterial infection of the eyelash or eyelid)<br>2. barley (annual temperate grasses of the species Hordeum vulgare)<br>3. barley (the grain of annual temperate grasses of the species Hordeum vulgare, used in making beer and whisky and for soups, puddings, etc.)"
23797,визгливый,"<i>Adjective</i><br>1. shrill, screechy<br>2. screechy, prone to screeching or screaming"
